sim,CL,CD,CM
213,NaN,NaN,NaN
94,NaN,NaN,NaN
115,NaN,NaN,NaN
154,NaN,NaN,NaN
173,NaN,NaN,NaN
114,NaN,NaN,NaN
153,0.304665320587906,0.00615117127133902,-0.0578923489557656
113,1.88417314877383,0.0144385005521178,-0.267991267873096
172,NaN,NaN,NaN
133,NaN,NaN,NaN
152,NaN,NaN,NaN
151,1.10770642389829,0.0102558281948938,-0.0226202427643228
171,NaN,NaN,NaN
132,0.775375493132817,0.120613843244674,-0.199873385076446
150,NaN,NaN,NaN
149,1.15100222633758,0.0111035899650598,-0.131497444792865
170,NaN,NaN,NaN
131,NaN,NaN,NaN
28,NaN,NaN,NaN
169,1.56660319787812,0.0106365430642262,-0.255938857161159
27,0.594731717163045,0.00728424952599567,-0.0493595587029367
130,0.577000617499464,0.0217294294755072,-0.0318607382321668
148,NaN,NaN,NaN
147,2.09992057441994,0.0115685568560756,-0.397092815672617
129,2.22543523853508,0.0229595655775046,-0.331338675415262
168,NaN,NaN,NaN
26,NaN,NaN,NaN
167,2.13136011228253,0.0335978012730492,-0.209312498558996
146,NaN,NaN,NaN
193,NaN,NaN,NaN
145,NaN,NaN,NaN
192,NaN,NaN,NaN
244,NaN,NaN,NaN
191,1.67790699919731,0.0123398963154747,-0.126958808866344
243,1.73946393868334,0.00858934461798025,-0.275311734257481
190,NaN,NaN,NaN
212,NaN,NaN,NaN
93,NaN,NaN,NaN
211,1.72168632015142,0.017063257729296,-0.161814481969441
92,NaN,NaN,NaN
91,1.97494725660974,0.0205109016335995,-0.245246617926544
112,NaN,NaN,NaN
210,NaN,NaN,NaN
128,NaN,NaN,NaN
25,NaN,NaN,NaN
127,2.2314704954831,0.0351808265572877,-0.175619134668441
166,NaN,NaN,NaN
204,NaN,NaN,NaN
165,NaN,NaN,NaN
203,2.0592571871686,0.0723273753996281,-0.223629943608015
224,NaN,NaN,NaN
189,NaN,NaN,NaN
223,NaN,NaN,NaN
242,NaN,NaN,NaN
222,1.87371004764303,0.01749078753827,-0.314903325391934
221,1.05571833293093,0.00627008934706698,-0.218972596256451
188,NaN,NaN,NaN
241,NaN,NaN,NaN
187,1.43436010011774,0.00653647758710962,-0.307303699778758
111,NaN,NaN,NaN
220,NaN,NaN,NaN
240,NaN,NaN,NaN
239,2.05241676241038,0.0184525514678676,-0.275347778353989
219,NaN,NaN,NaN
110,NaN,NaN,NaN
238,NaN,NaN,NaN
109,NaN,NaN,NaN
237,2.16607374744121,0.0152784130694405,-0.390114412346722
90,NaN,NaN,NaN
209,NaN,NaN,NaN
236,NaN,NaN,NaN
108,NaN,NaN,NaN
235,0.936862053437141,0.00644382105523539,-0.150080615362775
208,NaN,NaN,NaN
89,NaN,NaN,NaN
207,1.19437202143944,0.00823151801515322,-0.167491582697609
279,2.15178258739951,0.0461738038214224,-0.203587619922413
88,NaN,NaN,NaN
206,NaN,NaN,NaN
87,NaN,NaN,NaN
86,1.10292306138769,0.0112192967578179,-0.15105667763733
